ID,Họ tên,Giới tính,Ngày sinh,CCCD,SDT
CQ350,TRẦN NGỌC QUỐC,nữ,19/08/1994,044452853120,0978699846
CQ351,MAI MINH MỸ,nam,24/6/1997,002560776614,0363210250
CQ352,ĐẶNG MINH DUYÊN,nữ,20/02/2001,048333426995,0857509520
CQ353,HÀ HỮU VÂN,nam,13/07/2011,058252846038,0811056698
CQ354,Hưng Minh Thúy,nữ,22/10/2011,030667097834,0893806280
CQ355,Phạm Minh Hồng,nam,05/02/2015,037885699616,0978585873
CQ356,VŨ QUỐC ĐỨC,nữ,10/06/2006,038594376948,0811263281
CQ357,TRỊNH NGỌC VÂN,nam,16/10/2019,036505909848,0342126888
CQ358,HỒ HỮU ĐỨC,nam,07/07/2014,092456345252,0377030518
CQ359,VƯƠNG THANH VŨ,nữ,28/07/2017,084975237935,0793482798
CQ360,ĐỖ THỊ YẾN,nữ,30/04/2007,070921110269,0904387174
CQ361,HƯNG THỊ NAM,nam,27/05/2015,079807567730,0373988974
CQ362,HỒ NGỌC LƯU,nam,15/08/2020,037671000041,0789296911
CQ363,NGÔ KHÁNH DŨNG,nữ,09/02/2005,092974338616,0396499025
CQ364,Trí Đình Hòa,nữ,07/03/2011,025733191390,0366992581
CQ365,LÝ ĐÌNH KHÁNH,nam,05/01/2021,067161341271,0823706241
CQ366,LÊ NGỌC BÌNH,nữ,06/10/2016,060239558761,0896812279
CQ367,Đặng Gia Chi,nam,30/11/1978,024973678701,0706199817
CQ368,TRÍ THỊ NHÂN,nam,05/05/2010,019979724060,0772217637
CQ369,MAI ĐÌNH SƠN,nữ,17/09/2000,094417208818,0991658088
CQ370,LƯƠNG ĐÌNH KHÁNH,nữ,11/01/2017,006744031843,0973648447
CQ371,MAI VĂN THÚY,nam,07/07/2010,045544425997,0339364026
CQ372,NGUYỄN KHÁNH TRANG,nam,06/02/2021,092795642367,0709348931
CQ373,MAI MINH HỒNG,nam,7/11/2011,006679592803,0837524593
CQ374,NGUYỄN ĐÌNH DŨNG,nữ,27/03/2019,093897608791,0883753165
CQ375,HÀ THỊ TRUNG,nữ,29/11/2008,030919620715,0821230011
CQ376,LÂM THANH TOÀN,nam,01/05/1999,077327285110,0326161522
CQ377,Lý Ngọc Thảo,nam,09/04/2015,077131452141,0823615411
CQ378,VŨ QUỐC THÁI,nam,21/07/2015,042544788968,0706923592
CQ379,MAI THỊ QUỐC,nữ,23/09/2010,087790502868,0909714553
CQ380,LÊ MINH TRÍ,nữ,18/07/2004,012646217337,0897885539
CQ381,PHAN THỊ NGỌC,nam,21/01/2020,025334084311,0847681600
CQ382,LƯƠNG QUỐC DUY,nam,01/12/2010,077296839116,0882397633
CQ383,Lâm Thanh Khang,nam,08/03/2020,035652382236,0932459726
CQ384,NGÔ VĂN TUYẾT,nữ,05/01/2016,089939668661,0833105458
CQ385,HƯNG VĂN NGỌC,nam,16/12/2012,095700715269,0385003954
CQ386,TRƯƠNG NGỌC HƯƠNG,nam,25/11/2001,086390550609,0589306162
CQ387,HOÀNG MINH NGỌC,nữ,15/10/2015,001127785848,0784524503
CQ388,PHAN NGỌC MỸ,nữ,01/04/2018,054146796951,0912933571
CQ389,HỒ KHÁNH HOA,nam,10/12/2010,011187102272,0585350196
CQ390,HÀ MINH MINH,nam,10/05/2012,049420546153,0914726024
CQ391,HỒ MINH TOÀN,nữ,28/02/2000,093860102481,0767988267
CQ392,PHAN ĐÌNH BÌNH,nữ,30/01/2018,037646952565,0982942051
CQ393,TRẦN HỮU VÂN,nữ,02/02/1997,001700522357,0791893016
CQ394,NGỌC MINH QUỐC,nữ,11/06/2008,002679019316,0889279963
CQ395,LÝ GIA TRÍ,nam,07/06/1979,096311122446,0837087578
CQ396,TRỊNH HỮU VÂN,nữ,06/04/2022,027879720644,0522211309
CQ397,DƯƠNG HỮU VỸ,nữ,06/04/2009,042766631717,0581601745
CQ398,MAI ĐÌNH VÂN,nữ,10/12/1988,080755013985,0934405191
CQ399,BẠCH KHÁNH NHÂN,nam,17/09/2010,082580549334,0322308141
CQ400,BÙI VĂN VINH,nam,05/12/2012,077180535928,0352708516
CQ401,HÀ NGỌC SƠN,nam,27/07/2008,006938489024,0335169013
CQ402,ĐỖ NGỌC SƠN,Nữ,19/04/1981,054477652988,0979042695
CQ403,VŨ HỮU LƯU,nữ,09/10/2023,036411937951,0385318409
CQ404,MAI VĂN VŨ,Nữ,14/09/1985,026465112147,0905123669
CQ405,VŨ HỮU KHANG,nữ,12/12/2019,017504951238,0913956189
CQ406,PHAN THANH TUYẾT,nữ,17/05/2023,066911286662,0856499240
CQ407,HOÀNG NGỌC HÒA,nam,10/11/2011,004369970684,0992285632
CQ408,LÊ THỊ TUYẾT,nam,26/12/2012,077184800353,0767264393
CQ409,Vương Hữu Khang,nữ,24/10/2013,079594152185,0396352580
CQ410,LÊ MINH DUY,Nữ,02/12/2020,080774809712,0982718429
CQ411,VÕ QUỐC HUY,nam,18/12/1990,064468890207,0349334600
CQ412,PHAN GIA DŨNG,Nam,08/09/2020,045111619654,0368886048
CQ413,TẠ ĐÌNH KHOA,nữ,14/01/2004,004823378792,0852173114
CQ414,TRỊNH NGỌC TRANG,nam,09/01/1998,038460448105,0994873673
CQ415,TRÍ QUỐC QUỐC,nữ,21/06/2015,042830755033,0882966928
CQ416,BẠCH NGỌC LÊ,nam,11/04/2003,022561139633,0932728330
CQ417,TRƯƠNG KHÁNH HƯƠNG,nữ,28/05/2001,051431946810,0851751071
CQ418,HÀ GIA THẢO,nam,08/11/2008,001174630376,0936582168
CQ419,LÂM VĂN HOA,nữ,31/10/2015,031149302520,0814920849
CQ420,LÊ ĐÌNH TRÍ,Nữ,20/07/2005,060947949297,0787505758
CQ421,ĐỖ THỊ HÒA,nam,22/10/2018,001425540491,0529098175
CQ422,HƯNG QUỐC TOÀN,nữ,02/02/2008,084954796056,0949293740
CQ423,VŨ HỮU SƠN,nữ,07/03/1989,051938499132,0882456298
CQ424,LÂM QUỐC HÒA,nam,24/10/1999,014505284193,0944316272
CQ425,HƯNG MINH TUYẾT,nữ,01/08/2011,027396017569,0897350192
CQ426,BẠCH ĐÌNH CẨM,nữ,17/07/2016,040108870791,0373211844
CQ427,TRÍ MINH LAN,nữ,19/10/2020,027551119254,0527324789
CQ428,NGỌC MINH TUYẾT,nữ,11/04/2011,002324754886,0948320795
CQ429,ĐẶNG HỮU YẾN,nữ,07/05/2019,012386643167,0933624066
CQ430,LÂM ĐÌNH HÒA,nữ,14/10/2019,083554002710,0825907582
CQ431,LÊ NGỌC HƯƠNG,nam,28/06/2001,017782464438,0918025119
CQ432,DƯƠNG THANH LAN,nam,09/10/2006,062392058611,0987968185
CQ433,PHẠM QUỐC THẢO,nữ,10/02/2022,058159753655,0354606989
CQ434,LƯƠNG HỮU HUY,nam,24/09/2011,048436637255,0765815132
CQ435,LÂM NGỌC TÙNG,nữ,17/04/1988,004222428054,0706787179
CQ436,TRƯƠNG THANH TIẾN,nữ,25/06/2020,010354712268,0702511515
CQ437,TẠ NGỌC KHOA,nữ,30/04/2022,015659179650,0988414412
CQ438,NGỌC NGỌC THÀNH,nữ,22/09/2004,087354985330,0889157704
CQ439,HƯNG KHÁNH ANH,nữ,18/02/2020,012703396012,0835204798
CQ440,VÕ ĐÌNH DŨNG,nữ,02/05/2010,042513899146,0846518018
CQ441,HƯNG THỊ TIẾN,nam,02/06/1997,031948699036,0382023245
CQ442,BẠCH ĐÌNH DUY,nữ,24/05/2023,064766492949,0775060506
CQ443,PHAN ĐÌNH HUY,nữ,25/12/1989,026453244466,0839844609
CQ444,HOÀNG NGỌC HÒA,nam,25/04/1995,060497048561,0988945010
CQ445,HOÀNG THANH HÀ,nam,06/08/2021,036713441675,0783943391
CQ446,LÝ HỮU NHÂN,nữ,25/03/2007,062294183834,0702476102
CQ447,ĐỖ KHÁNH ĐỨC,nam,15/05/2022,074540097899,0331538176
CQ448,TRẦN KHÁNH TÚ,nữ,07/11/1987,086707720553,0948461550
CQ449,BÙI HỮU MỸ,nữ,02/11/2012,091112717597,0849410686
CQ450,Lương Minh Vy,Nữ,23/12/2023,045237519010,0707356117
CQ451,Đỗ Quốc Hải,nam,28/12/2002,095442153893,0906326309
CQ452,MAI GIA BÌNH,nữ,30/09/2005,042195429810,0708951745
CQ453,HƯNG GIA HÀ,nữ,11/10/2000,095122834528,0366019060
CQ454,LÝ KHÁNH KHANG,nữ,12/01/2008,052819062953,0824807353
CQ455,TRƯƠNG KHÁNH XUÂN,nam,26/07/2002,037647497206,0365392000
CQ456,VŨ THANH NHÂN,nam,13/11/2016,031311140781,0896311985
CQ457,LÝ QUỐC TOÀN,nữ,16/05/2022,001714175129,0356830109
CQ458,VÕ KHÁNH MINH,nam,27/3/2010,080709815424,0835773402
CQ459,TRƯƠNG THỊ TRANG,Nữ,24/03/2008,054701821654,0824372555
CQ460,DƯƠNG NGỌC QUỐC,nam,04/04/2011,020914262859,0976843610
CQ462,VŨ GIA HOA,Nam,20/04/2021,077742396054,0988802319
CQ463,HƯNG KHÁNH QUANG,Nữ,18/08/2021,010259606958,0857199903
CQ464,ĐẶNG GIA TÙNG,nữ,12/10/2023,067387549405,0564455394
CQ465,BÙI MINH DŨNG,nữ,30/09/1996,012455690909,0903444353
CQ466,NGÔ QUỐC TRANG,nữ,29/04/2014,079983253289,0779798127
CQ467,VŨ HỮU TÂM,nam,02/03/2016,096950275485,0394053405
CQ468,LÊ ĐẶNG TUẤN KIỆT,nam,26/02/1993,095363383926,0526821278
CQ469,Phạm Gia Tùng,Nữ,01/11/2009,086348258444,0599269167
CQ470,Bùi Thị Hương,nữ,25/07/2015,037725321763,0346253858
CQ471,PHAN THỊ VŨ,nữ,30/11/2021,066899285722,0598764511
CQ472,DƯƠNG KHÁNH QUỐC,nữ,19/02/2000,030177022003,0937293924
CQ473,HƯNG VĂN BÌNH,nam,30/01/1980,051466780043,0397225724
CQ474,LÊ NGỌC HỒNG,nam,23/03/2014,048790564857,0333217906
CQ475,NGỌC QUỐC BÌNH,nữ,26/07/2014,035755881993,0562461721
CQ476,TRẦN NGỌC THẢO,nam,11/12/2009,058964762971,0796000383
CQ477,BÙI ĐÌNH HUY,nam,02/05/2013,012780171259,0941757331
CQ478,HOÀNG NGỌC NHÂN,nữ,09/10/2019,075648180668,0365386129
CQ479,HÀ KHÁNH SƠN,nam,07/07/2006,091258826045,0854438830
CQ480,Nguyễn Hữu Mỹ,nam,12/12/2022,080550215663,0895546265
CQ481,LÊ THANH LÊ,nam,24/03/1994,075809188522,0891263350
CQ482,BẠCH MINH VINH,nữ,14/07/2006,025957047003,0881667352
CQ483,TRƯƠNG KHÁNH THẢO,Nam,24/09/2020,014489298627,0357845577
CQ484,NGUYỄN VĂN HÒA,nam,23/11/2023,020704716226,0889752574
CQ485,LÝ THANH VÂN,nữ,13/03/2013,022249625226,0991507119
CQ486,ĐẶNG THANH HÀ,nam,01/09/1987,040416405621,0595173810
CQ487,HÀ NGỌC TRÍ,nữ,22/08/2008,034254822549,0795886439
CQ488,TẠ KHÁNH QUỐC,nam,07/10/2023,035430724641,0945862779
CQ489,NGỌC KHÁNH BÌNH,nữ,23/03/2002,066298159538,0943814079
CQ490,BÙI THANH VÂN,nam,29/08/1977,025140900536,0837583307
CQ491,TRƯƠNG VĂN TÂM,nữ,11/05/2015,052747664759,0945448077
CQ492,Phạm Thanh Khánh,nam,27/12/2007,083695741349,0825020994
CQ493,HÀ NGỌC CHI,nam,07/03/2008,040652604099,0849156962
CQ494,LƯƠNG NGỌC TRÍ,nam,04/11/1993,068152299685,0812626536
CQ495,Trí Khánh Cẩm,nam,03/10/1996,095946893789,0398833766
CQ496,Hà Văn Thái,nữ,04/05/2000,092587015964,0366804196
CQ497,Hưng Quốc Hà,nữ,19/02/2013,062362788427,0391686186
CQ499,Dương Đình Nam,nữ,11/10/2012,095688016851,0529505507
